time,temp_CA_dmean,temp_CA_dmax,precip_CA_dsum,wind_CA_dmean,wind_CA_dmax,humid_CA_dmean,humid_CA_dmin
5/04/2018,15.246053,21.774109,2.01E-05,1.5364493,3.2773635,-0.00025177,-0.00025177
6/04/2018,15.16906,20.29956,0.09188745,1.6139764,3.5776918,-0.00025177,-0.00025177
7/04/2018,15.757866,21.21878,0.006102864,1.8263274,4.481757,-0.00025177,-0.00025177
8/04/2018,16.83227,25.189453,0.038348883,1.4245645,3.6701536,-0.00025177,-0.00025177
9/04/2018,19.115555,28.481598,2.01E-05,1.8134922,3.0614676,-0.00025177,-0.00025177
10/04/2018,20.988588,28.928894,2.01E-05,1.7042174,4.4860005,-0.00025177,-0.00025177
11/04/2018,19.869963,26.908478,2.01E-05,1.840247,4.5953603,-0.00025177,-0.00025177
12/04/2018,12.959923,23.324463,0.018272549,2.8565958,4.6290126,-0.00025177,-0.00025177
13/04/2018,12.056735,20.7677,2.01E-05,2.5083816,4.1968102,-0.00025177,-0.00025177
14/04/2018,15.852944,25.0094,2.01E-05,2.10851,2.9581895,-0.00025177,-0.00025177
15/04/2018,16.801704,24.230438,2.01E-05,1.8525372,3.7952542,-0.00025177,-0.00025177
16/04/2018,13.493768,21.387482,0.08002455,2.5573814,5.272435,-0.00025177,-0.00025177
17/04/2018,8.592353,18.250732,0.06663865,1.8209451,4.7168765,-0.00025177,-0.00025177
18/04/2018,12.294827,20.036102,2.01E-05,2.0596411,4.6626725,-0.00025177,-0.00025177
19/04/2018,8.909736,17.43576,0.2941788,2.7575443,4.6367936,-0.00025177,-0.00025177
20/04/2018,10.214576,23.08377,0.6640848,1.4384327,4.243218,-0.00025177,-0.00025177
21/04/2018,16.808887,26.783386,2.01E-05,1.6036733,3.720135,-0.00025177,-0.00025177
22/04/2018,19.625624,27.41452,2.01E-05,1.8586317,4.462067,-0.00025177,-0.00025177
23/04/2018,19.17739,27.18332,2.01E-05,1.8091965,4.5295815,-0.00025177,-0.00025177
24/04/2018,18.72686,25.813019,2.01E-05,1.8121743,4.1590886,-0.00025177,-0.00025177
25/04/2018,18.339348,25.748566,2.01E-05,1.5818372,3.5492053,-0.00025177,-0.00025177
26/04/2018,17.582098,24.323303,2.01E-05,1.571558,3.5726476,-0.00025177,-0.00025177
27/04/2018,16.223879,23.258148,2.01E-05,1.64174,3.65331,-0.00025177,-0.00025177
28/04/2018,14.437158,21.133514,2.01E-05,1.7214369,3.835605,-0.00025177,-0.00025177
29/04/2018,12.841072,18.612762,2.01E-05,2.1088972,4.11129,-0.00025177,-0.00025177
30/04/2018,11.408776,16.018066,0.004584063,2.3246968,4.0124025,-0.00025177,-0.00025177
1/05/2018,8.690876,13.123718,1.4869086,2.659672,3.4424973,0.001800537,0.001800537
2/05/2018,7.271692,11.965759,1.0344576,1.834571,3.02702,0.001800537,0.001800537
3/05/2018,12.266006,22.791534,0.03931448,1.3485599,2.8730772,0.001800537,0.001800537
4/05/2018,18.050714,27.90924,0,1.3925811,2.7484517,0.001800537,0.001800537
5/05/2018,20.862112,30.211823,0,1.4872164,2.6776345,0.001800537,0.001800537
6/05/2018,22.684835,29.28357,0,1.827766,3.6577547,0.001800537,0.001800537
7/05/2018,20.833008,27.38913,0,1.6432406,3.7053645,0.001800537,0.001800537
8/05/2018,21.031296,28.074371,0,1.6827116,3.5038576,0.001800537,0.001800537
9/05/2018,22.18077,30.320038,0,1.5256839,3.6355178,0.001800537,0.001800537
10/05/2018,20.844553,28.896332,0,1.6060357,3.7731652,0.001800537,0.001800537
11/05/2018,16.017282,23.550842,0,2.1102595,3.6242335,0.001800537,0.001800537
12/05/2018,11.886516,16.548157,0.005359389,2.3974874,3.5851285,0.001800537,0.001800537
13/05/2018,12.557549,18.499573,0.008635037,2.1493301,3.2989025,0.001800537,0.001800537
14/05/2018,13.7425375,20.860992,0,1.716042,4.1148095,0.001800537,0.001800537
15/05/2018,14.627997,22.436554,0,1.747301,3.728439,0.001800537,0.001800537
16/05/2018,15.926248,23.80899,0,1.5762445,3.5699778,0.001800537,0.001800537
17/05/2018,15.165047,22.423279,0,1.8956413,3.979185,0.001800537,0.001800537
18/05/2018,14.359943,21.001465,0,1.7610983,3.667826,0.001800537,0.001800537
19/05/2018,15.682004,21.451355,0,1.5749716,3.3939655,0.001800537,0.001800537
20/05/2018,15.873806,21.717133,0,1.5990337,4.128333,0.001800537,0.001800537
21/05/2018,14.179688,19.182953,0.024422351,2.1489747,3.5305223,0.001800537,0.001800537
22/05/2018,13.651975,20.101715,0.010125339,1.848379,3.2336054,0.001800537,0.001800537
23/05/2018,15.078044,21.018555,0,1.5644331,3.2609866,0.001800537,0.001800537
24/05/2018,16.132761,21.210297,0,1.5676103,3.3935308,0.001800537,0.001800537
25/05/2018,14.15604,19.18106,0.000892673,1.9781586,3.8002152,0.001800537,0.001800537
26/05/2018,12.477112,17.871246,0.029783417,2.3167658,3.6300712,0.001800537,0.001800537
27/05/2018,14.7987585,23.41037,0,1.5826668,3.7416651,0.001800537,0.001800537
28/05/2018,18.736855,27.520111,0,1.6381198,3.4131758,0.001800537,0.001800537
29/05/2018,21.503723,29.524658,0.1754391,1.6072135,3.3441787,0.001800537,0.001800537
30/05/2018,18.090574,24.456299,0,1.5921559,3.388046,0.001800537,0.001800537
31/05/2018,16.63256,22.373932,0.000297558,1.7732129,3.4245472,0.001800537,0.001800537
1/06/2018,16.973448,27.06659,0,1.3970414,3.3370323,0.000762939,0.000762939
2/06/2018,21.497461,30.00592,0,1.6167339,3.598621,0.000762939,0.000762939
3/06/2018,24.399233,33.8024,0,1.6310314,3.8342254,0.000762939,0.000762939
4/06/2018,24.821955,32.014923,0,1.8487197,3.9083943,0.000762939,0.000762939
5/06/2018,21.821535,29.595642,0,1.8019608,3.7717364,0.000762939,0.000762939
6/06/2018,19.567356,26.101562,0,1.6978226,3.567565,0.000762939,0.000762939
7/06/2018,19.267439,26.515686,0,1.6841663,3.6756744,0.000762939,0.000762939
8/06/2018,21.6542,30.81491,0,1.6052259,3.6964324,0.000762939,0.000762939
9/06/2018,22.563192,29.279755,0,1.8264332,3.773464,0.000762939,0.000762939
10/06/2018,20.634295,28.02774,0,1.7148832,3.674898,0.000762939,0.000762939
11/06/2018,23.020338,31.421661,0,1.587787,3.503463,0.000762939,0.000762939
12/06/2018,24.822754,32.70642,0,1.7268983,3.7403367,0.000762939,0.000762939
13/06/2018,25.156464,32.650543,0,1.8974556,4.2763467,0.000762939,0.000762939
14/06/2018,24.104128,31.099976,0,1.8837729,3.8797185,0.000762939,0.000762939
15/06/2018,23.126038,29.243164,0,1.8897368,4.864311,0.000762939,0.000762939
16/06/2018,19.811579,27.176361,0,2.0616007,3.7677264,0.000762939,0.000762939
17/06/2018,14.833304,20.542633,0,2.261671,3.614785,0.000762939,0.000762939
18/06/2018,16.330267,24.816803,0,1.778207,3.4574487,0.000762939,0.000762939
19/06/2018,20.407965,30.4682,0,1.5522842,3.5794187,0.000762939,0.000762939
20/06/2018,24.398592,33.900635,0,1.7648226,3.7219095,0.000762939,0.000762939
21/06/2018,25.017456,32.326965,0,1.805274,3.880697,0.000762939,0.000762939
22/06/2018,25.478134,33.20337,0,1.630712,3.576348,0.000762939,0.000762939
23/06/2018,23.986473,31.855042,0,1.7500263,3.8272371,0.000762939,0.000762939
24/06/2018,21.993448,29.206573,0,1.4889392,3.5980093,0.000762939,0.000762939
25/06/2018,22.687836,31.589233,0,1.5686841,3.5524275,0.000762939,0.000762939
26/06/2018,23.353567,31.853119,0,1.5148805,3.5374231,0.000762939,0.000762939
27/06/2018,23.63439,30.595337,0,1.7291908,3.9062817,0.000762939,0.000762939
28/06/2018,22.682617,29.277832,0,1.6993399,3.8681123,0.000762939,0.000762939
29/06/2018,20.043364,27.659851,0,1.801139,3.6807578,0.000762939,0.000762939
30/06/2018,20.707329,29.383759,0,1.4778643,3.4768102,0.000762939,0.000762939
1/07/2018,21.91903,30.774475,0,1.5495281,3.5900178,0.001262665,-0.001403809
2/07/2018,22.403273,29.486725,0,1.6076216,3.5063744,0.00096639,-0.001403809
3/07/2018,21.935196,28.65689,0,1.748602,3.619206,0.00096639,-0.001403809
4/07/2018,22.320036,30.458527,0,1.6712579,3.9396224,0.001262665,-0.001403809
5/07/2018,25.206055,35.153625,0,1.5683051,3.7864952,0.001855215,-0.001403809
6/07/2018,29.973541,40.17862,0,1.573731,2.9037418,0.001855215,-0.001403809
7/07/2018,31.647629,39.184814,0.39710438,1.5385169,2.9264927,0.000670115,-0.001403809
8/07/2018,29.928633,35.16162,0.40032807,1.5763172,4.3215876,0.001262665,-0.001403809
9/07/2018,27.798882,33.409943,0.1802369,1.6482086,3.3028798,0.001410802,-0.001403809
10/07/2018,25.201727,32.41815,11.017516,1.3744621,2.778447,0.00155894,-0.001403809
11/07/2018,23.554962,27.28714,9.255016,1.001992,2.094202,0.001262665,-0.001403809
12/07/2018,23.71585,28.872833,3.9062753,1.1282979,2.7269855,0.001262665,-0.001403809
13/07/2018,24.26824,29.434723,0,1.4657701,3.5138123,0.001707077,-0.001403809
14/07/2018,25.255297,32.10022,0,1.4107062,3.6791613,0.001410802,-0.001403809
15/07/2018,25.96874,31.704285,0,1.4336432,2.9718418,0.000225703,-0.001403809
16/07/2018,24.963264,31.478333,0,1.4835371,3.5430946,0.000818253,-0.001403809
17/07/2018,25.900085,32.93405,0,1.38719,3.1737046,0.001262665,-0.001403809
18/07/2018,25.974989,30.704498,9.667653,1.3951993,2.1801922,0.002151489,0.002151489
19/07/2018,25.432013,32.408142,4.055737,1.2382509,2.40916,0.001855215,-0.001403809
20/07/2018,24.239912,29.506714,0.025790278,1.5308453,3.4295945,0.001707077,-0.001403809
21/07/2018,23.468729,28.75885,0.1802369,1.1496593,3.057899,0.002003352,-0.001403809
22/07/2018,25.458511,32.624115,0.36222982,1.3133079,3.4707873,0.002151489,0.002151489
23/07/2018,27.64541,35.399567,0.26317334,1.6099364,3.8014,0.001410802,-0.001403809
24/07/2018,29.641607,36.721313,0,1.6667436,4.1394014,0.001707077,-0.001403809
25/07/2018,29.577787,35.69751,0,1.5579458,3.0350573,0.001707077,-0.001403809
26/07/2018,28.447588,34.76169,0,1.7735628,3.6380868,0.002151489,0.002151489
27/07/2018,28.128403,35.581512,0,1.6895417,3.5859535,0.002151489,0.002151489
28/07/2018,27.952356,34.207794,0,1.611111,3.3756666,0.001855215,-0.001403809
29/07/2018,27.384378,33.987854,0.006154832,1.5208153,3.26922,0.001855215,-0.001403809
30/07/2018,26.834234,33.425934,0.5914086,1.292613,2.8599894,0.002151489,0.002151489
31/07/2018,27.80863,33.815887,0.6435734,1.5300751,3.3493068,0.002151489,0.002151489
1/08/2018,27.410456,33.220367,0.5979859,1.3933679,3.3780608,0.00113678,0.00113678
2/08/2018,26.90536,31.795135,0.10258192,1.7133795,4.1529317,0.00113678,0.00113678
3/08/2018,26.76179,34.028503,0,1.5484537,3.3985486,0.00113678,0.00113678
4/08/2018,26.939608,33.357697,0,1.515491,3.518093,0.00113678,0.00113678
5/08/2018,26.396357,33.747833,0,1.739576,3.7807791,0.00113678,0.00113678
6/08/2018,27.77506,36.950623,0,1.602374,3.707062,0.00113678,0.00113678
7/08/2018,29.737402,36.952606,0,1.7966777,3.311751,0.00113678,0.00113678
8/08/2018,28.523172,36.04892,0,1.7866235,3.4376402,0.00113678,0.00113678
9/08/2018,27.578993,34.665497,6.044669,1.5803028,4.2821608,0.00113678,0.00113678
10/08/2018,25.375956,29.985718,3.831474,1.3550067,3.7115927,0.00113678,0.00113678
11/08/2018,24.557098,30.660522,0.2911605,1.7116165,3.823703,0.00113678,0.00113678
12/08/2018,24.003479,29.77472,0.000306778,1.463162,3.7087789,0.00113678,0.00113678
13/08/2018,23.62793,30.260406,0,1.5182562,2.9983554,0.00113678,0.00113678
14/08/2018,23.530066,30.71228,0,1.3482805,2.9917605,0.00113678,0.00113678
15/08/2018,24.375381,31.028778,0.80100065,1.3295637,3.411475,0.00113678,0.00113678
16/08/2018,24.561163,29.860321,5.105151,1.1661373,2.3941581,0.00113678,0.00113678
17/08/2018,24.22957,28.878998,2.0083375,1.0625056,2.2994864,0.00113678,0.00113678
18/08/2018,24.73467,30.566956,0,1.3905536,2.8609564,0.00113678,0.00113678
19/08/2018,25.670969,32.225067,0,1.2500873,2.9915032,0.00113678,0.00113678
20/08/2018,25.495722,31.619965,0,1.2272375,3.0982294,0.00113678,0.00113678
21/08/2018,24.414108,30.606781,0,1.5259143,3.8563452,0.00113678,0.00113678
22/08/2018,24.61416,30.668488,0,1.6734872,3.6195421,0.00113678,0.00113678
23/08/2018,24.130125,30.841644,0,1.578677,3.6796334,0.00113678,0.00113678
24/08/2018,23.287048,29.816528,0,1.6102492,3.4965107,0.00113678,0.00113678
25/08/2018,22.864141,30.01358,0,1.4311876,3.404244,0.00113678,0.00113678
26/08/2018,23.176493,29.583649,0,1.4760094,3.4275177,0.00113678,0.00113678
27/08/2018,22.281656,29.040222,0,1.4366733,3.2811522,0.00113678,0.00113678
28/08/2018,21.716593,28.829224,0,1.590859,3.5123012,0.00113678,0.00113678
29/08/2018,22.423157,30.421661,0,1.4481589,3.3603625,0.00113678,0.00113678
30/08/2018,24.234962,31.239777,0,1.6581249,3.4190707,0.00113678,0.00113678
31/08/2018,23.636307,30.722229,0,1.5775574,3.3775225,0.00113678,0.00113678
1/09/2018,23.002005,29.471466,0,1.5289241,3.3588607,0.001820882,-0.001434326
2/09/2018,21.897642,29.238037,0.064937115,1.2731295,3.5580337,0.001658122,-0.001434326
3/09/2018,22.55397,29.300293,0.20412952,1.244505,2.852574,0.002146403,-0.001434326
4/09/2018,22.81195,30.10559,0.31158215,1.4279426,3.0330236,0.002471924,0.002471924
5/09/2018,23.091566,30.099762,0.27139762,1.1936245,2.515445,0.002309163,-0.001434326
6/09/2018,23.202522,31.387451,0,1.5127813,3.087824,0.002309163,-0.001434326
7/09/2018,25.334259,33.974518,0,1.6124369,3.6945825,0.002146403,-0.001434326
8/09/2018,27.110758,34.46469,0,1.9717292,4.8305664,0.002309163,-0.001434326
9/09/2018,26.085175,32.488403,0,1.8606958,4.2329082,0.001658122,-0.001434326
10/09/2018,24.013163,31.099548,0,1.6957058,3.7162797,0.00100708,-0.001434326
11/09/2018,22.54757,29.494812,0,1.5300504,3.5839005,0.001983643,-0.001434326
12/09/2018,22.06962,29.183563,0,1.5241653,3.8330224,0.001983643,-0.001434326
13/09/2018,22.228317,28.983215,0,1.6165773,3.580802,0.002471924,0.002471924
14/09/2018,23.88981,31.928192,0,1.5928578,3.4850664,0.002471924,0.002471924
15/09/2018,24.261505,30.903107,0,1.7543926,3.6091156,0.002471924,0.002471924
16/09/2018,24.07485,29.798248,0,1.625121,3.3921506,0.002471924,0.002471924
17/09/2018,23.52955,30.270905,0,1.5875573,3.8028662,0.002146403,-0.001434326
18/09/2018,22.450232,29.856598,0,1.5426431,3.4183147,0.001169841,-0.001434326
19/09/2018,21.59582,28.971558,0,1.5273733,3.3879936,0.001495361,-0.001434326
20/09/2018,22.016052,29.885773,0.030575506,1.8624878,3.0606856,0.001820882,-0.001434326
21/09/2018,22.769318,30.20868,0,1.6870265,3.6198943,0.002309163,-0.001434326
22/09/2018,24.576616,31.860107,0,1.6251799,3.9301257,0.002146403,-0.001434326
23/09/2018,23.69246,30.181427,0,1.5989977,3.7965431,0.001332601,-0.001434326
24/09/2018,21.520441,26.876617,0,1.5847812,3.3919175,0.000518799,-0.001434326
25/09/2018,21.067785,29.208862,0,1.2485569,3.0640647,0.001332601,-0.001434326
26/09/2018,23.293053,32.585663,0,1.569944,2.4708936,0.001658122,-0.001434326
27/09/2018,24.466146,33.161438,0,1.7711916,3.7628338,0.002471924,0.002471924
28/09/2018,24.341818,30.961456,0,1.7863816,4.166638,0.002471924,0.002471924
29/09/2018,22.550972,28.391876,0,1.7519808,3.5937514,0.002471924,0.002471924
30/09/2018,21.08821,26.363098,0.7224656,1.6398998,3.8674245,0.002471924,0.002471924
1/10/2018,21.417627,26.68512,0.39342225,1.4969391,2.982312,-0.000199636,-0.000732422
2/10/2018,20.661362,24.654877,0.6353013,1.7222275,3.68453,0.000999133,-0.000732422
3/10/2018,18.236828,22.848663,0.30181307,1.5709944,3.4296594,0.001398722,-0.000732422
4/10/2018,16.721207,21.816772,1.5086923,1.7508227,3.3715534,0.000999133,-0.000732422
5/10/2018,16.976677,24.78894,0.09789644,1.1614039,3.1339931,0.001665115,-0.000732422
6/10/2018,16.737373,23.54892,0.009743124,1.5257362,3.6134493,0.001531919,-0.000732422
7/10/2018,15.047863,20.052887,4.0604916,1.589779,3.6375527,0.00073274,-0.000732422
8/10/2018,15.359117,21.298187,1.007058,1.3656026,2.7190528,0.00073274,-0.000732422
9/10/2018,15.441071,20.918976,2.01E-05,1.4755133,3.6280174,0.000999133,-0.000732422
10/10/2018,14.340476,20.167542,2.01E-05,1.5314664,3.3807712,0.001265526,-0.000732422
11/10/2018,14.166291,20.271606,0.002214499,1.298839,3.1045692,0.000466347,-0.000732422
12/10/2018,15.843085,23.047974,2.01E-05,2.035816,2.5732813,0.000466347,-0.000732422
13/10/2018,14.592561,22.739288,5.7668166,1.0091869,2.1390905,-0.000466029,-0.000732422
14/10/2018,14.113082,20.659668,0.33036348,0.7156103,1.5415736,-0.000466029,-0.000732422
15/10/2018,14.396037,20.054657,0.006293971,2.6904125,4.7451167,-0.000732422,-0.000732422
16/10/2018,12.648465,19.823578,2.01E-05,2.281963,3.1953511,-0.000732422,-0.000732422
17/10/2018,13.538422,20.994812,2.01E-05,1.9795419,2.9875033,-0.000466029,-0.000732422
18/10/2018,14.911241,23.577148,2.01E-05,1.9155512,2.692569,-0.000332832,-0.000732422
19/10/2018,16.534895,23.882294,2.01E-05,2.3963053,2.9945006,-0.000732422,-0.000732422
20/10/2018,17.518335,25.63913,2.01E-05,1.8762884,2.4115977,-0.000732422,-0.000732422
21/10/2018,17.907715,24.873596,2.01E-05,1.343802,2.691693,-0.000732422,-0.000732422
22/10/2018,17.581762,23.54361,0.004411396,1.1272072,2.7912886,-0.000732422,-0.000732422
23/10/2018,17.321733,24.093964,2.01E-05,1.3072952,2.4931462,-0.000732422,-0.000732422
24/10/2018,18.161936,25.282806,2.01E-05,1.3620342,2.957937,-0.000732422,-0.000732422
25/10/2018,17.935495,26.295288,2.01E-05,1.2199184,2.9111595,-6.64E-05,-0.000732422
26/10/2018,19.235773,28.491333,2.01E-05,1.4215984,2.3174245,0.001665115,-0.000732422
27/10/2018,20.057524,29.353851,2.01E-05,1.47268,2.5930457,0.001931508,-0.000732422
28/10/2018,19.46824,28.062714,2.01E-05,1.5529846,2.9220226,0.001798312,-0.000732422
29/10/2018,19.328007,25.697327,2.01E-05,1.3903527,3.0890605,0.001531919,-0.000732422
30/10/2018,16.415466,22.460602,2.01E-05,0.9731439,2.6238978,0.001931508,-0.000732422
